Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Noninvasive estimation of motor unit conduction velocity distribution using linear electrode arrays,D. Farina; E. Fortunato; R. Merletti,"Institute for Scientific Interchange Foundation, Torino, Italy; Institute for Scientific Interchange Foundation, Torino, Italy; Department of Electronics, Politecnico di Torino, Torino, Italy",IEEE Transactions on Biomedical Engineering,6 Aug 2002,2000,47,3.0,380,388.0,"Determining the conduction velocity of motor unit action potentials is one of the most important problems in surface electromyography. The estimate of one average conduction velocity value depends on a variety of uncontrollable factors. More meaningful information is obtained from the estimation of the distribution of the different delays in the myoelectric signals. A solution to the problem is the separation and characterization of the individual components propagating at different velocities. A technique, based on surface electrode array recording, is proposed to estimate motor unit conduction velocity distribution. The method consists in the identification of the single action potentials in the time scale domain (with the continuous wavelet transform) and in the estimation of their conduction velocities based on the beamforming algorithm. The performances of the technique have been evaluated using simulated and real myoelectric signals. The results demonstrate that the technique Is accurate and reliable. The method may be useful for the diagnosis of neuromuscular disorders, for the monitoring of muscle fatigue and for noninvasive investigation of individual motor units.",1558-2531,,10.1109/10.827303,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=827303,,Electrodes;Delay estimation;Continuous wavelet transforms;Electromyography;Wavelet domain;Wavelet transforms;Array signal processing;Performance evaluation;Neuromuscular;Monitoring,"Action Potentials;Algorithms;Electric Conductivity;Electrodes;Electromyography;Humans;Models, Biological;Muscle Contraction;Reference Values;Signal Processing, Computer-Assisted",132.0,,32.0,IEEE,6 Aug 2002,March 2000,,IEEE,IEEE Journals
Wavelet and short-time Fourier transform analysis of electromyography for detection of back muscle fatigue,P. J. Sparto; M. Parnianpour; E. A. Barria; J. M. Jagadeesh,"Departments of Physical Therapy and Otolaryngology, University of Pittsburgh, Pittsburgh, PA, USA; Department of Industrial, Welding, and Systems Engineering, Ohio State Uinversity, Columbus, OH, USA; Departments of Pharmacy and Electrical Engineering, Ohio State Uinversity, Columbus, OH, USA; Departments of Pharmacy and Electrical Engineering, Ohio State Uinversity, Columbus, OH, USA",IEEE Transactions on Rehabilitation Engineering,6 Aug 2002,2000,8,3.0,433,436.0,"Measurement of the time-varying characteristics of the frequency content of trunk muscle electromyography is a method to quantify the amount of fatigue endured by workers during industrial tasks, as well as a tool that may guide the training and rehabilitation of healthy and injured workers. Quantification of the change of signal power within specific frequency ranges may shed greater insight into the fatigue process. Sixteen healthy male subjects performed isometric trunk extension at 70% of their maximum voluntary contraction. Surface electromyography from medial and lateral erector spinae, and latissimus dorsi locations were processed using the short-time Fourier transform (STFT) and wavelet transform. Linear regression quantified the time rate of change of median frequency as well as frequency specific STFT filter and wavelet scale measures. The median frequency from the short-time Fourier transform declined by 22 Hz/min from an initial value of 77 Hz on average. The wavelet and STFT filter measures demonstrated this decline to be caused by a reduction in 209-349 Hz signal power in addition to an increase in 7-88 Hz signal power. A significant reduction in median frequency and significant elevation in 13-22 Hz wavelet signal component was detected in about 90% of the cases, indicating their use for detecting and quantifying fatigue.",1558-0024,,10.1109/86.867887,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=867887,,Wavelet analysis;Fourier transforms;Fatigue;Frequency measurement;Electromyography;Industrial training;Filters;Muscles;Signal processing;Surface waves,"Adult;Electromyography;Exercise Test;Fourier Analysis;Humans;Isometric Contraction;Linear Models;Low Back Pain;Male;Muscle Fatigue;Signal Processing, Computer-Assisted;Time Factors;Torque",64.0,3.0,29.0,IEEE,6 Aug 2002,Sept. 2000,,IEEE,IEEE Journals
Uterine EMG analysis: a dynamic approach for change detection and classification,M. Khalil; J. Duchene,"University of Technology of Troyes, France, Troyes, France; University of Technology of Troyes, France, Troyes, France",IEEE Transactions on Biomedical Engineering,6 Aug 2002,2000,47,6.0,748,756.0,"Toward the goal of detecting preterm birth by characterizing events in the uterine electromyogram (EMG), the authors propose a method of detection and classification of events in this signal. Uterine EMG is considered as a nonstationary signal and the authors' approach consists of assuming piecewise stationarity and using a dynamic change detector with no a priori knowledge of the parameters of the hypotheses on the process state to be detected. The detection approach is based on the dynamic cumulative sum (DCS) of the local generalized likelihood ratios associated with a multiscale decomposition using wavelet transform. This combination of DCS and multiscale decomposition was shown to be very efficient for detection of both frequency and energy changes. An unsupervised classification based on the comparison between variance-covariance matrices computed from selected scales of the decomposition was implemented after detection. Finally a class labeling based on neural networks was developed. This algorithm of detection-classification-labeling gives satisfactory results on uterine EMG: in most cases more than 80% of the events are correctly detected and classified whatever the term of gestation.",1558-2531,,10.1109/10.844224,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=844224,,Electromyography;Event detection;Distributed control;Signal processing;Detectors;Wavelet transforms;Frequency;Matrix decomposition;Labeling;Neural networks,"Algorithms;Analysis of Variance;Electromyography;Electromyography;Electromyography;Female;Fetal Monitoring;Fetal Monitoring;Fetal Monitoring;Humans;Labor, Obstetric;Likelihood Functions;Nonlinear Dynamics;Pregnancy;Time Factors;Uterus",67.0,4.0,30.0,IEEE,6 Aug 2002,June 2000,,IEEE,IEEE Journals
Spectral compression of the electromyographic signal due to decreasing muscle fiber conduction velocity,M. M. Lowery; C. L. Vaughan; P. J. Nolan; M. J. O'Malley,"Department of Electronicand Electrical Engineering,University College Dublin, National University of Ireland, Dublin, Ireland; Department of Biomedical Engineering, University of Cape Town, Cape Town, South Africa; Department of Human Anatomy and Physiology,University College Dublin, National University of Ireland, Dublin, Ireland; Department of Electronicand Electrical Engineering,University College Dublin, National University of Ireland, Ireland",IEEE Transactions on Rehabilitation Engineering,6 Aug 2002,2000,8,3.0,353,361.0,"Spectral compression of the electromyographic (EMG) signal, due largely to decreasing muscle fiber conduction velocity, is commonly used as an indication of muscle fatigue. Current methods of estimating conduction velocity using characteristic frequencies such as the median frequency of the power spectrum, are based on an assumption of uniform spectral compression. To examine changes in the EMG frequency spectrum during fatigue, muscle fiber conduction velocity was measured during sustained, isometric contractions of the biceps brachii. Compression of the EMG power and amplitude spectra was simultaneously examined using the median frequency and-an alternative method-the spectral distribution technique. The spectral distribution technique consistently gave a better estimate of the relative change in muscle fiber conduction velocity than either of the median frequencies. This was further examined using a physiologically based EMG simulation model, which confirmed these findings. The model indicated that firing statistics can significantly influence spectral compression, particularly the behavior of characteristic frequencies in the vicinity of the firing rates. The relative change in the median frequency, whether of the amplitude or frequency spectrum, was consistently greater than the relative change in conduction velocity. The most accurate indication of the relative change in conduction velocity was obtained by calculating the mean shift in the midfrequency region of the EMG amplitude spectrum using the spectral distribution technique.",1558-0024,,10.1109/86.867877,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=867877,,Muscles;Electromyography;Frequency estimation;Fatigue;Biomedical measurements;Frequency measurement;Velocity measurement;Biomedical engineering;Cities and towns;Statistical distributions,"Action Potentials;Adult;Analysis of Variance;Bias;Computer Simulation;Confounding Factors, Epidemiologic;Electromyography;Female;Humans;Isometric Contraction;Male;Models, Neurological;Muscle Fatigue;Muscle, Skeletal;Myofibrils;Neural Conduction;Sensitivity and Specificity;Signal Processing, Computer-Assisted",82.0,,20.0,IEEE,6 Aug 2002,Sept. 2000,,IEEE,IEEE Journals
EMG-based prediction of shoulder and elbow kinematics in able-bodied and spinal cord injured individuals,A. T. C. Au; R. F. Kirsch,"Department of Biomedical Engineering, Case Western Reserve University, Cleveland, VA, USA; Department of Biomedical Engineering, Case Western Reserve University, Cleveland, VA, USA",IEEE Transactions on Rehabilitation Engineering,6 Aug 2002,2000,8,4.0,471,480.0,"The authors have evaluated the ability of a time-delayed artificial neural network (TDANN) to predict shoulder and elbow motions using only electromyographic (EMG) signals recorded from six shoulder and elbow muscles as inputs, both in able-bodied subjects and in subjects with tetraplegia arising from C5 spinal cord injury. For able-bodied subjects, all four joint angles (elbow flexion-extension and shoulder-horizontal flexion-extension, elevation depression, and internal-external rotation) were predicted with average root-mean-square (rms) errors of less than 20/spl deg/ during movements of widely different complexities performed at different speeds and with different hand loads. The corresponding angular velocities and angular accelerations were predicted with even lower relative errors. For individuals with C5 tetraplegia, the absolute rms errors of the joint angles, velocities, and accelerations were actually smaller than for able-bodied subjects, but the relative errors were similar when the smaller movement ranges of the C5 subjects were taken into account. These results indicate that the EMG signals from shoulder and elbow muscles contain a significant amount of information about arm movement kinematics that could be exploited to develop advanced control systems for augmenting or restoring shoulder and elbow movements to individuals with tetraplegia using functional neuromuscular stimulation of paralyzed muscles.",1558-0024,,10.1109/86.895950,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=895950,,Elbow;Kinematics;Shoulder;Muscles;Electromyography;Acceleration;Artificial neural networks;Spinal cord injury;Angular velocity;Control systems,"Adult;Biomechanical Phenomena;Elbow Joint;Electromyography;Female;Humans;Male;Movement;Neural Networks, Computer;Shoulder Joint;Spinal Cord Injuries",152.0,1.0,29.0,IEEE,6 Aug 2002,Dec. 2000,,IEEE,IEEE Journals
Study of the control strategy of the quadriceps muscles in anterior knee pain,M. Cesarelli; P. Bifulco; M. Bracale,"Department of Electronic Engineering and Telecommunication, University of Napoli Federico II, Napoli, Italy; Department of Electronic Engineering and Telecommunication, University of Napoli Federico II, Napoli, Italy; Department of Electronic Engineering and Telecommunication, University of Napoli Federico II, Napoli, Italy",IEEE Transactions on Rehabilitation Engineering,6 Aug 2002,2000,8,3.0,330,341.0,"Anterior knee pain (AKP) is a common pathological condition, particularly among young people and athletes, associated to an abnormal motion of the patella during the bending of the knee and possibly dependent on a muscular or structural imbalance. A lack of synergy in the quadriceps muscles results in a dynamic misalignment of the patella, which in turn produces pain, AKP rehabilitative therapy consists of conservative treatment whose main objective is to strengthen the Vastus Medialis. The aim of this article is to study the quadriceps muscle control strategy in AKP patients during an isokinetic exercise. Analysis of the muscle activation strategy is important for an objective measurement of the knee functionality in that it helps to diagnose and monitor the rehabilitative treatment. Surface electromyography (EMG) from the three superficial muscles of the femoral quadriceps during a concentric isokinetic exercise has been analyzed along with the signals of knee joint position and torque. A group of 12 AKP patients has been compared with a group of 30 normal subjects. Analysis of the grand ensemble average of the EMG linear envelopes in AKP patients reveals significant modifications in Vastus Medialis activity compared to the other quadriceps muscles. In order to study the synergy of the muscles, temporal identifiers have been associated to the EMG linear envelopes. To this end, EMG linear envelope decomposition in Gaussian pulses turned out to be effective and the results highlight an appreciable delay in the activation of the Vastus Medialis in AKP patients. This muscular unbalance can explain the abnormal motion of the patella.",1558-0024,,10.1109/86.867875,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=867875,,Muscles;Electromyography;Knee;Pain;Pathology;Medical treatment;Patient monitoring;Surface treatment;Signal analysis;Torque,"Adolescent;Adult;Biomechanical Phenomena;Case-Control Studies;Electromyography;Exercise Test;Humans;Isotonic Contraction;Knee Joint;Linear Models;Male;Muscle, Skeletal;Normal Distribution;Pain;Range of Motion, Articular;Signal Processing, Computer-Assisted;Torque",37.0,,35.0,IEEE,6 Aug 2002,Sept. 2000,,IEEE,IEEE Journals
Analysis of muscle coordination strategies in cycling,B. I. Prilutsky; R. J. Gregor,"Department of Health and Performance Sciences, Georgia Institute of Technology, Atlanta, GA, USA; Department of Health and Performance Sciences, Georgia Institute of Technology, Atlanta, GA, USA",IEEE Transactions on Rehabilitation Engineering,6 Aug 2002,2000,8,3.0,362,370.0,"The functional significance of the stereotypical muscle activation patterns used in skilled multi-joint tasks is not well understood. Optimization methods could provide insight into the functional significance of muscle coordination. The purpose of this study was to predict muscle force patterns during cycling by pushing and pulling the pedal using different optimization criteria and compare the predictions with electromyographic (EMG) patterns. To address the purpose of the study, (1) the contribution of muscle length and velocity changes to EMG-muscle force relationships during cycling was examined by comparing joint moments calculated from EMG and inverse dynamics, (2) patterns of individual muscle forces during cycling of five subjects were predicted using 13 different optimization criteria, and (3) the properties of the criterion with the best performance in predicting the normalized EMG were used to explain the features and functional significance of muscle coordination in cycling. It was shown that the criterion that minimizes the sum of muscle stresses cubed demonstrated the best performance in predicting the relative magnitude and patterns of muscle activation. Based on this criterion, it was suggested that the functional significance of muscle coordination strategy in cycling may be minimization of fatigue and/or perceived effort.",1558-0024,,10.1109/86.867878,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=867878,,Muscles;Electromyography;Fatigue;Stress;Leg;Force measurement;Optimization methods;Legged locomotion;Mathematical programming;Immune system,"Adult;Bias;Bicycling;Biomechanical Phenomena;Computer Simulation;Electromyography;Female;Humans;Leg;Male;Models, Biological;Muscle Contraction;Muscle Fatigue;Muscle, Skeletal;Physical Exertion;Predictive Value of Tests;Psychomotor Performance;Rotation;Signal Processing, Computer-Assisted",66.0,,41.0,IEEE,6 Aug 2002,Sept. 2000,,IEEE,IEEE Journals
An improved configuration for the reduction of EMG in electrode cuff recordings: a theoretical approach,M. Rahal; J. Winter; J. Taylor; N. Donaldson,"Department of Electronic and Electrical Engineering, University College, London, UK; Department of Electronic and Electrical Engineering, University College, London, UK; Department of Electronic and Electrical Engineering, University College, London, UK; Department of Medical Physics and Bioengineering, University College London, London, UK",IEEE Transactions on Biomedical Engineering,6 Aug 2002,2000,47,9.0,1281,1284.0,"A theoretical investigation of different electroneurogram recording techniques using electrode cuffs is presented. A new screened tripole arrangement is proposed with a higher inherent signal to interference ratio than the true tripole, which also allows the nulling of the residual electromyogram signal. The reduction in interference is small because the electrode impedance is large compared to the source resistance.",1558-2531,,10.1109/10.867963,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=867963,,Electromyography;Electrodes;Impedance;Interference;Insulation;Voltage;Electric resistance;Feedback;Neuromuscular stimulation;Signal to noise ratio,Biomedical Engineering;Biometry;Electrodes;Electrodiagnosis;Electrodiagnosis;Electromyography;Humans;Peripheral Nerves,37.0,1.0,13.0,IEEE,6 Aug 2002,Sept. 2000,,IEEE,IEEE Journals
Fuzzy EMG classification for prosthesis control,F. H. Y. Chan; Yong-Sheng Yang; F. K. Lam; Yuan-Ting Zhang; P. A. Parker,"The Department of Electricaland Electronic Engineering, University of Hong Kong, Hong Kong, China; The Department of Electricaland Electronic Engineering, University of Hong Kong, Hong Kong, China; The Department of Electricaland Electronic Engineering, University of Hong Kong, Hong Kong, China; The Department of Electrical Engineering, Chinese University of Hong Kong, Hong Kong, China; The Department of Electrical Engineering, University of New Brunswick, Fredericton, NB, Canada",IEEE Transactions on Rehabilitation Engineering,6 Aug 2002,2000,8,3.0,305,311.0,"Proposes a fuzzy approach to classify single-site electromyograph (EMG) signals for multifunctional prosthesis control. While the classification problem is the focus of this paper, the ultimate goal is to improve myoelectric system control performance, and classification is an essential step in the control. Time segmented features are fed to a fuzzy system for training and classification. In order to obtain acceptable training speed and realistic fuzzy system structure, these features are clustered without supervision using the Basic Isodata algorithm at the beginning of the training phase, and the clustering results are used in initializing the fuzzy system parameters. Afterwards, fuzzy rules in the system are trained with the back-propagation algorithm. The fuzzy approach was compared with an artificial neural network (ANN) method on four subjects, and very similar classification results were obtained. It is superior to the latter in at least three points: slightly higher recognition rate; insensitivity to overtraining; and consistent outputs demonstrating higher reliability. Some potential advantages of the fuzzy approach over the ANN approach are also discussed.",1558-0024,,10.1109/86.867872,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=867872,,Fuzzy control;Electromyography;Prosthetics;Fuzzy systems;Control systems;Artificial neural networks;Fuzzy logic;Delay;Clustering algorithms;Neural networks,"Algorithms;Artificial Limbs;Bias;Cluster Analysis;Electric Stimulation Therapy;Electromyography;Feedback;Fuzzy Logic;Humans;Neural Networks, Computer;Signal Processing, Computer-Assisted;Software Validation;Time Factors",295.0,3.0,18.0,IEEE,6 Aug 2002,Sept. 2000,,IEEE,IEEE Journals
Adaptive whitening of the electromyogram to improve amplitude estimation,E. A. Clancy; K. A. Farry,"Raytheon Company, Framingham, MA, USA; Intelligenta, Inc., Friendswood, TX, USA",IEEE Transactions on Biomedical Engineering,6 Aug 2002,2000,47,6.0,709,719.0,"Previous research showed that whitening the surface electromyogram (EMG) can improve EMG amplitude estimation (where EMG amplitude is defined as the time-varying standard deviation of the EMG). However, conventional whitening via a linear filter seems to fail at low EMG amplitude levels, perhaps due to additive background noise in the measured EMG. This paper describes an adaptive whitening technique that overcomes this problem by cascading a nonadaptive whitening filter, an adaptive Wiener filter, and an adaptive gain correction. These stages can be calibrated from two, five second duration, constant-angle, constant-force contractions, one at a reference level [e.g., 50% maximum voluntary contraction (MVC)] and one at 0% MVC. In experimental studies, subjects used real-time EMG amplitude estimates to track a uniform-density, band-limited random target. With a 0.25-Hz bandwidth target, either adaptive whitening or multiple channel processing reduced the tracking error roughly half-way to the error achieved using the dynamometer signal as the feedback. At the 1.00-Hz bandwidth, all of the EMG processors had errors equivalent to that of the dynamometer signal, reflecting that errors in this task were dominated by subjects' inability to track targets at this bandwidth. Increases in the additive noise level, smoothing window length, and tracking bandwidth diminish the advantages of whitening.",1558-2531,,10.1109/10.844217,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=844217,,Amplitude estimation;Electromyography;Target tracking;Bandwidth;Wiener filter;Nonlinear filters;Additive noise;Signal processing;Background noise;Noise measurement,"Adaptation, Physiological;Adult;Aged;Algorithms;Artifacts;Electromyography;Electromyography;Electromyography;Female;Humans;Male;Middle Aged;Models, Biological;Muscle Contraction;Muscles",77.0,,32.0,IEEE,6 Aug 2002,June 2000,,IEEE,IEEE Journals
High-precision EMG signal decomposition using communication techniques,R. Gut; G. S. Moschytz,"University of Applied Sciencies, Muttenz, Switzerland; Swiss Federal Institute of Technology, Zurich, Switzerland",IEEE Transactions on Signal Processing,6 Aug 2002,2000,48,9.0,2487,2494.0,"This paper presents a new approach to the decomposition of electromyographic (EMG) signals. EMG signals consist of a superposition of delayed finite-duration waveforms that carry the information about the firing of different muscle fiber groups. The new approach is based on a communication technical interpretation of the EMG signal. The source is modeled as a signaling system with intersymbol-interference, which encodes a well defined sparse information sequence. This point of view allows a maximum-likelihood (ML) as well as a maximum a posteriori (MAP) estimation of the underlying firing pattern to be made. The high accuracy attainable with the proposed method is illustrated both with measured and artificially generated EMG signals.",1941-0476,,10.1109/78.863051,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=863051,,Electromyography;Signal resolution;Muscles;Signal processing;Electrodes;Optical fiber communication;Needles;Shape;Maximum likelihood estimation;Signal processing algorithms,,44.0,3.0,19.0,IEEE,6 Aug 2002,Sept. 2000,,IEEE,IEEE Journals
A model of EMG generation,J. Duchene; J. . -Y. Hogrel,"LM2S, Université de Technologie de Troyes, Troyes, France; Institut de Myologie, Hôpital Pitié-Salpétrière, Paris, France",IEEE Transactions on Biomedical Engineering,6 Aug 2002,2000,47,2.0,192,201.0,"Simulation models are unavoidable in experimental research when the point is to develop new processing algorithms to be applied on real signals in order to extract specific parameter values. Such algorithms have generally to be optimized by comparing true parameter values to those deduced from the algorithm. Only a simulation model can allow the user to access and control the actual process parameter values. This constraint is especially true when dealing with biomedical signals like surface electromyogram (SEMG). This work is an attempt to produce an efficient SEMG simulation model as a help for assessing algorithms related to SEMG features description. It takes into account the most important parameters which could influence these characteristics. This model includes all transformations from intracellular potential to surface recordings as well as a fast implementation of the extracellular potential computation. In addition, this model allows multiple graphically-programmable electrode-set configurations and SEMG simulation in both voluntary and elicited contractions.",1558-2531,,10.1109/10.821754,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=821754,,Electromyography;Biological system modeling;Computational modeling;Shape;Analytical models;Muscles;Mathematical model;Frequency estimation;Electrodes;Signal processing,"Action Potentials;Algorithms;Animals;Computer Simulation;Electromyography;Humans;Models, Biological;Muscle Contraction;Signal Processing, Computer-Assisted;Software;User-Computer Interface",95.0,,57.0,IEEE,6 Aug 2002,Feb. 2000,,IEEE,IEEE Journals
Concentric-ring electrode systems for noninvasive detection of single motor unit activity,D. Farina; C. Cescon,"Department of Electronics, Politecnico di Torino, Torino, Italy; Department of Electronics, Politecnico di Torino, Torino, Italy",IEEE Transactions on Biomedical Engineering,7 Aug 2002,2001,48,11,1326,1334.0,"New recording techniques for detecting surface electromyographic (EMG) signals based on concentric-ring electrodes are proposed in this paper. A theoretical study of the two-dimensional (2-D) spatial transfer function of these recording systems is developed both in case of rings with a physical dimension and in case of line rings. Design criteria for the proposed systems are presented in relation to spatial selectivity. It is shown that, given the radii of the rings, the weights of the spatial filter can be selected in order to improve the rejection of low spatial frequencies, thus increasing spatial selectivity. The theoretical transfer functions of concentric systems are obtained and compared with those of other detection systems. Signals detected with the ring electrodes and with traditional one-dimensional and 2-D systems are compared. The concentric-ring systems show higher spatial selectivity with respect to the traditional detection systems and reduce the problem of electrode location since they are invariant to rotations. The results shown are very promising for the noninvasive detection of single motor unit (MU) activities and decomposition of the surface EMG signal into the constituent MU action potential trains.",1558-2531,,10.1109/10.959328,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=959328,,Electrodes;Electromyography;Muscles;Spatial filters;Two dimensional displays;Transfer functions;Disk recording;Filtering;Frequency;Signal detection,"Action Potentials;Biomedical Engineering;Computer Simulation;Electrodes;Electromyography;Electromyography;Electrophysiology;Humans;Models, Neurological;Motor Neurons;Neuromuscular Diseases",84.0,6.0,41.0,IEEE,7 Aug 2002,Nov. 2001,,IEEE,IEEE Journals
An ultralight biotelemetry backpack for recording EMG signals in moths,P. Mohseni; K. Nagarajan; B. Ziaie; K. Najafi; S. B. Crary,"Department of Electrical Engineering and Computer Science, Center for Integrated MicroSystems, University of Michigan Ann Arbor, Ann Arbor, MI, USA; University of Michigan Ann Arbor, Ann Arbor, MI, USA; Department of Electrical and Computer Engineering, University of Minnesota, Minneapolis, MN, USA; Department of Electrical Engineering and Computer Science, Center for Integrated MicroSystems, University of Michigan Ann Arbor, Ann Arbor, MI, USA; Department of Electrical Engineering and Computer Science, Center for Integrated MicroSystems, University of Michigan Ann Arbor, Ann Arbor, MI, USA",IEEE Transactions on Biomedical Engineering,7 Aug 2002,2001,48,6,734,737.0,"A two-channel FM biopotential recording system fabricated on a foldable, lightweight, polyimide substrate is presented. Each channel consists of a biopotential amplifier followed by a Colpitts oscillator with operating frequency tunable in the 88-108 MHz commercial FM band. The overall system measures 10 mm/spl times/10 mm/spl times/3 mm, weighs 0.74 g, uses two 1.5-V batteries, dissipates about 2 mW, and has a transmission range of 2 m. Using this system, electromyogram signals have been recorded from the dorsal ventral muscle and the dorsal longitudinal muscle of a giant sphinx moth (Manduca sexta).",1558-2531,,10.1109/10.923792,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=923792,,Biomedical telemetry;Electromyography;Muscles;Frequency;Insects;Robots;Circuits;Batteries;Monitoring;Wireless communication,"Animals;Electromyography;Equipment Design;Miniaturization;Moths;Resins, Synthetic;Telemetry",28.0,1.0,10.0,IEEE,7 Aug 2002,June 2001,,IEEE,IEEE Journals
Reciprocal EMG control of elbow extension by FES,J. P. Giuffrida; P. E. Crago,"Center of Excellence in Functional Electrical Stimulation, Cleveland Veterans Affairs Medical Center, Cleveland, OH, USA; Center of Excellence in Functional Electrical Stimulation, Cleveland Veterans Affairs Medical Center, Cleveland, OH, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,7 Aug 2002,2001,9,4,338,345.0,"Elbow extension is critical in performing activities of daily living. Individuals with a C5-C6 spinal cord injury have paralyzed elbow extensors, yet retain weak to strong voluntary control of elbow flexion. Previous studies have shown that functional electrical stimulation (FES) of the triceps provides sufficient elbow extension strength and control to greatly improve function. With triceps stimulation applied at a constant level, elbow angle is controlled naturally by voluntary flexion opposing the stimulated extension-referred to as voluntary antagonist control. We have investigated an alternative reciprocal control scheme employing biceps electromyogram. (EMG) to modulate triceps stimulation. With reciprocal control, increasing biceps EMG proportionally reduces triceps stimulation. A personal computer (PC)-based lab system was designed to test the feasibility of reciprocal control. Reciprocal control increased the range of elbow moments, was stable during maintained elbow angle or isometric moment, and used less stimulation. Reciprocal control of triceps stimulation using biceps EMG is an effective method for restoring elbow extension to C5-C6 spinal cord injury patients, and could be extended to other situations where a voluntarily controlled muscle can be opposed by stimulating an antagonist.",1558-0210,,10.1109/7333.1000113,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1000113,,Electromyography;Elbow;Muscles;Spinal cord injury;Neuromuscular stimulation;Mechanical sensors;Neural prosthesis;Biomedical engineering;Proportional control;Microcomputers,"Activities of Daily Living;Adult;Elbow;Electric Stimulation Therapy;Electric Stimulation Therapy;Electromyography;Feasibility Studies;Feedback;Humans;Male;Middle Aged;Movement;Muscle Contraction;Quadriplegia;Quadriplegia;Range of Motion, Articular;Signal Processing, Computer-Assisted",31.0,,21.0,IEEE,7 Aug 2002,Dec. 2001,,IEEE,IEEE Journals
Finite element modeling of electromagnetic signal propagation in a phantom arm,T. A. Kuiken; N. S. Stoykov; M. Popovic; M. Lowery; A. Taflove,"Rehabilitation Institute of Chicago, Departmentof Physical Medicine and Rehabilitation, Northwestern University Medical School, Chicago, IL, USA; Department of Physical Medicine and Rehabilitation, Northwestern University Medical School, Chicago, IL, USA; Department of Electrical and Computer Engineering, McGill University, Montreal, QUE, Canada; Department of Physical Medicine and Rehabilitation, Northwestern University Medical School, Chicago, IL, USA; Department of Electrical and Computer Engineering, North Western University, Evanston, IL, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,7 Aug 2002,2001,9,4,346,354.0,"Improving the control of artificial arms remains a considerable challenge. It may be possible to graft remaining peripheral nerves in an amputated limb to spare muscles in or near the residual limb and use these nerve-muscle grafts as additional myoelectric control signals. This would allow simultaneous control of multiple degrees of freedom (DOF) and could greatly improve the control of artificial limbs. For this technique to be successful, the electromyography (EMG) signals from the nerve-muscle grafts would need to be independent of each other with minimal crosstalk. To study EMG signal propagation and quantify crosstalk, finite element (FE) models were developed in a phantom-arm model. The models were validated with experimental data collected by applying sinusoidal excitations to a phantom-arm model and recording the surface electric potential distribution. There was a very high correlation (r>0.99) between the FEM data and the experimental data, with the error in signal magnitude generally less than 5%. Simulations were then performed using muscle dielectric properties with static, complex, and full electromagnetic solvers. The results indicate that significant displacement currents can develop (>50% of total current) and that the fall-off of surface signal power varies with how the signal source is modeled.",1558-0210,,10.1109/7333.1000114,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1000114,,Finite element methods;Electromagnetic modeling;Electromagnetic propagation;Imaging phantoms;Electromyography;Muscles;Crosstalk;Arm;Artificial limbs;Electric potential,"Arm;Artificial Limbs;Body Surface Potential Mapping;Computer Simulation;Electric Conductivity;Electromagnetic Fields;Electromyography;Finite Element Analysis;Humans;Models, Biological;Muscle, Skeletal;Neuromuscular Junction;Reproducibility of Results",22.0,10.0,34.0,IEEE,7 Aug 2002,Dec. 2001,,IEEE,IEEE Journals
