"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Simulation of Intramuscular EMG Signals Detected Using Implantable Myoelectric Sensors (IMES)","M. M. Lowery; R. F. Weir; T. A. Kuiken","School of Electrical, Electronic and Mechanical Engineering, University College Dublin, Dublin, Ireland; Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, USA; Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, USA",IEEE Transactions on Biomedical Engineering,"18 Sep 2006","2006","53","10","1926","1933","The purpose of this study was to test the feasibility of recording independent electromyographic (EMG) signals from the forearm using implantable myoelectric sensors (IMES), for myoelectric prosthetic control. Action potentials were simulated using two different volume conductor models: a finite-element (FE) model that was used to explore the influence of the electrical properties of the surrounding inhomogeneous tissues and an analytical infinite volume conductor model that was used to estimate the approximate detection volume of the implanted sensors. Action potential amplitude increased progressively as conducting electrodes, the ceramic electrode casing and high resistivity encapsulation tissue were added to the model. For the muscle fiber locations examined, the mean increase in EMG root mean square amplitude when the full range of material properties was included in the model was 18.2% (plusmn8.15). Changing the orientation of the electrode with respect to the fiber direction altered the shape of the electrode detection volume and reduced the electrode selectivity. The estimated detection radius of the IMES electrode, assuming a cylindrical muscle cross section, was 4.8, 6.2, and 7.5 mm for electrode orientations of 0deg, 22.5deg, and 45deg with respect to the muscle fiber direction","1558-2531","","10.1109/TBME.2006.881774","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1703743","Detection volume;EMG;encapsulation tissue;implantable electrode;myoelectric prostheses","Electromyography;Signal detection;Electrodes;Muscles;Conductors;Testing;Prosthetics;Analytical models;Finite element methods;Iron","Action Potentials;Computer Simulation;Computer-Aided Design;Electric Stimulation;Electric Stimulation;Electrodes, Implanted;Electromyography;Electromyography;Feasibility Studies;Humans;Models, Biological;Muscle, Skeletal;Muscle, Skeletal","38","","32","IEEE","18 Sep 2006","Oct. 2006","","IEEE","IEEE Journals"
"Small-vocabulary speech recognition using surface electromyography","B. J. Betts; K. Binsted; C. Jorgensen",NA; NA; NA,Interacting with Computers,"18 Jan 2018","2006","18","6","1242","1259","We present results of electromyographic (EMG) speech recognition on a small vocabulary of 15 English words. EMG speech recognition holds promise for mitigating the effects of high acoustic noise on speech intelligibility in communication systems, including those used by first responders (a focus of this work). We collected 150 examples per word of single-channel EMG data from a male subject, speaking normally while wearing a firefighter’s self-contained breathing apparatus. The signal processing consisted of an activity detector, a feature extractor, and a neural network classifier. Testing produced an overall average correct classification rate on the 15 words of 74% with a 95% confidence interval of (71%, 77%). Once trained, the subject used a classifier as part of a real-time system to communicate to a cellular phone and to control a robotic device. These tasks were performed under an ambient noise level of approximately 95 decibels. We also describe ongoing work on phoneme-level EMG speech recognition.","1873-7951","","10.1016/j.intcom.2006.08.012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8147138","Electromyography;EMG;Bioelectric;EMG speech recognition;First responder;Pattern recognition;SCBA","","","7","","","","18 Jan 2018","Dec. 2006","","OUP","OUP Journals"
"Improving EMG-based muscle force estimation by using a high-density EMG grid and principal component analysis","D. Staudenmann; Idsart Kingma; A. Daffertshofer; D. F. Stegeman; J. H. van Dieen","Institute for Fundamental and Clinical Human Movement Sciences, Vrije Universiteit, Amsterdam, Netherlands; Institute for Fundamental and Clinical Human Movement Sciences, Vrije Universiteit, Amsterdam, Netherlands; Institute for Fundamental and Clinical Human Movement Sciences, Vrije Universiteit, Amsterdam, Netherlands; Institute for Fundamental and Clinical Human Movement Sciences and the Department of Clinical Neurophysiology, University Medical Centre, Netherlands; Institute for Fundamental and Clinical Human Movement Sciences, Vrije Universiteit, Amsterdam, Netherlands",IEEE Transactions on Biomedical Engineering,"20 Mar 2006","2006","53","4","712","719","The accuracy of predictions of muscle force based on electromyography (EMG) is an important issue in biomechanics and kinesiology. Since human skeletal muscles show a high diversity and heterogeneity in their fiber architecture, it is difficult to properly align electrodes to the muscle fiber direction. Against this background, we analyzed the effect of different bipolar configuration directions on EMG-based force estimation. In addition, we investigated whether principal component analysis (PCA) can improve this estimation. High-density surface-EMG from the triceps brachii muscle and the extension force of the elbow were measured in 11 subjects. The root mean square difference (RMSD) between predicted and measured force was determined. We found the best bipolar configuration direction to cause a 13% lower RMSD relative to the worst direction. Optimal results were obtained with electrodes aligned with the expected main muscle fiber direction. We found that PCA reduced RMSD by about 40% compared to conventional bipolar electrodes and by about 12% compared to optimally aligned multiple bipolar electrodes. Thus, PCA contributes to the accuracy of EMG-based estimation of muscle force when using a high-density EMG grid.","1558-2531","","10.1109/TBME.2006.870246","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1608521","Force estimation;heterogeneous muscle fiber architecture;human;principal component analysis;redundancy;surface electromyography","Muscles;Electromyography;Principal component analysis;Electrodes;Force measurement;Accuracy;Biomechanics;Humans;Elbow;Root mean square","Algorithms;Arm;Diagnosis, Computer-Assisted;Electromyography;Female;Humans;Isometric Contraction;Male;Muscle, Skeletal;Principal Component Analysis;Reproducibility of Results;Sensitivity and Specificity;Stress, Mechanical","140","","23","IEEE","20 Mar 2006","April 2006","","IEEE","IEEE Journals"
"An analytical model for surface EMG generation in volume conductors with smooth conductivity variations","L. Mesin; D. Farina","Laboratorio di Ingegneria del Sistema Neuromuscolare, LISiN, Dipartimento di Elettronica, Politecnico di Torino, Torino, Italy; Center for Sensory-Motor Interaction, SMI, Department of Health Science and Technology, University of Aalborg, Aalborg, Denmark",IEEE Transactions on Biomedical Engineering,"18 Apr 2006","2006","53","5","773","779","A nonspace invariant model of volume conductor for surface electromyography(EMG) signal generation is analytically investigated. The volume conductor comprises planar layers representing the muscle and subcutaneous tissues. The muscle tissue is homogeneous and anisotropic while the subcutaneous layer is inhomogeneous and isotropic. The inhomogeneity is modeled as a smooth variation in conductivity along the muscle fiber direction. This may reflect a practical situation of tissues with different conductivity properties in different locations or of transitions between tissues with different properties. The problem is studied with the regular perturbation theory, through a series expansion of the electric potential. This leads to a set of Poisson's problems, for which the source term in an equation and the boundary conditions are determined by the solution of the previous equations. This set of problems can be solved iteratively. The solution is obtained in the two-dimensional Fourier domain,with spatial angular frequencies corresponding to the longitudinal and perpendicular direction with respect to the muscle fibers, in planes parallel to the detection surface. The series expansion is truncated for the practical implementation. Representative simulations are presented. The proposed model constitutes anew approach for surface EMG signal simulation with applications related to the validation of methods for information extraction from this signal","1558-2531","","10.1109/TBME.2006.872825","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1621128","EMG modeling;space-invariance;volume conductor","Analytical models;Electromyography;Conductors;Conductivity;Muscles;Poisson equations;Signal generators;Signal analysis;Anisotropic magnetoresistance;Optical fiber theory","Action Potentials;Animals;Anisotropy;Diagnosis, Computer-Assisted;Electric Conductivity;Electromyography;Humans;Models, Neurological;Muscle Fibers, Skeletal;Muscle, Skeletal;Muscle, Skeletal;Neural Conduction;Skin Physiological Phenomena","24","","21","IEEE","18 Apr 2006","May 2006","","IEEE","IEEE Journals"
"A Real-Time EMG Pattern Recognition System Based on Linear-Nonlinear Feature Projection for a Multifunction Myoelectric Hand","J. . -U. Chu; I. Moon; M. . -S. Mun","Korea Orthopedics and Rehabilitation Engineering Center, Incheon, South Korea; Department ofMechatronics Engineering, Dong Eui University, Busan, South Korea; Korea Orthopedics and Rehabilitation Engineering Center, Incheon, South Korea",IEEE Transactions on Biomedical Engineering,"16 Oct 2006","2006","53","11","2232","2239","This paper proposes a novel real-time electromyogram (EMG) pattern recognition for the control of a multifunction myoelectric hand from four channel EMG signals. To extract a feature vector from the EMG signal, we use a wavelet packet transform that is a generalized version of wavelet transform. For dimensionality reduction and nonlinear mapping of the features, we also propose a linear-nonlinear feature projection composed of principal components analysis (PCA) and a self-organizing feature map (SOFM). The dimensionality reduction by PCA simplifies the structure of the classifier and reduces processing time for the pattern recognition. The nonlinear mapping by SOFM transforms the PCA-reduced features into a new feature space with high class separability. Finally, a multilayer perceptron (MLP) is used as the classifier. Using an analysis of class separability by feature projections, we show that the recognition accuracy depends more on the class separability of the projected features than on the MLP's class separation ability. Consequently, the proposed linear-nonlinear projection method improves class separability and recognition accuracy. We implement a real-time control system for a multifunction virtual hand. Our experimental results show that all processes, including virtual hand control, are completed within 125 ms, and the proposed method is applicable to real-time myoelectric hand control without an operational time delay","1558-2531","","10.1109/TBME.2006.883695","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1710164","EMG;linear-nonlinear feature projection;pattern recognition;principal components analysis;self-organizing feature map;wavelet packet transform","Real time systems;Electromyography;Pattern recognition;Principal component analysis;Wavelet packets;Wavelet transforms;Feature extraction;Multilayer perceptrons;Control systems;Delay effects","Action Potentials;Artificial Intelligence;Artificial Limbs;Computer Simulation;Computer Systems;Electromyography;Hand;Humans;Linear Models;Models, Biological;Muscle, Skeletal;Nonlinear Dynamics;Pattern Recognition, Automated;Principal Component Analysis;Prosthesis Design;Robotics;User-Computer Interface","273","","17","IEEE","16 Oct 2006","Nov. 2006","","IEEE","IEEE Journals"
"Simulation of Surface EMG Signals for a Multilayer Volume Conductor With Triangular Model of the Muscle Tissue","L. Mesin","Laboratory for Neuromuscular System Engineering, LISiN, Dipartimento di Elettronica, Politecnico di Turino, Torino, Italy",IEEE Transactions on Biomedical Engineering,"16 Oct 2006","2006","53","11","2177","2184","This study analytically describes surface electromyogram (sEMG) signals generated by a model of a triangular muscle, i.e., a muscle with fibers arranged in a fan shape. Examples of triangular muscles in the human body are the deltoid, the pectoralis major, the trapezius, the adductor pollicis. A model of triangular muscle is proposed. It is a sector of a cylindrical volume conductor (with the fibers directed along the radial coordinate) bounded at the muscle/fat interface. The muscle conductivity tensor reflects the fan anisotropy. Edge effects have been neglected. A solution of the nonspace invariant problem for a triangular muscle is provided in the Fourier domain. An approximate analytical solution for a two plane layer volume conductor model is obtained by introducing a homogeneous layer (modeling the fat) over the triangular muscle. The results are implemented in a complete sEMG generation model (including the finite length of the fibers), simulating single fiber action potentials. The model is not space invariant due to the changes of the volume conductor along the direction of action potential propagation. Thus the detected potentials at the skin surface change shape as they propagate. This determines problems in the extraction and interpretation of parameters. As a representative example of application of the simulation model, the influence of the inhomogeneity of the volume conductor in conduction velocity (CV) estimation is addressed (for two channels; maximum likelihood and reference point methods). Different fiber depths, electrode placements and small misalignments of the detection system with respect to the fiber have been simulated. The error in CV estimation is large when the depth of the fiber increases, when the detection system is not aligned with the fiber and close to the innervation point and to the tendons","1558-2531","","10.1109/TBME.2006.879469","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1710158","Electromyography;EMG modeling;spatial frequency;triangular muscles;volume conductor","Electromyography;Nonhomogeneous media;Conductors;Muscles;Biological system modeling;Shape;Signal analysis;Signal generators;Humans;Conductivity","Action Potentials;Animals;Computer Simulation;Electromyography;Humans;Models, Neurological;Motor Neurons;Muscle Contraction;Muscle Fibers;Muscle, Skeletal;Muscle, Skeletal;Synaptic Transmission","21","","37","IEEE","16 Oct 2006","Nov. 2006","","IEEE","IEEE Journals"
"Singularity characteristics of needle EMG IP signals","E. W. Abel; Hongying Meng; A. Forster; D. Holder","Biomedical Engineering Research Group, University of Dundee, Dundee, UK; University of York, York, UK; Department of Clinical Neurophysiology, Aberdeen Royal Infirmary, Aberdeen, UK; Department of Medical Physics and Bioengineering, University College London, London, UK",IEEE Transactions on Biomedical Engineering,"23 Jan 2006","2006","53","2","219","225","Clinical electromyography (EMG) interference pattern (IP) signals can reveal more diagnostic information than their constituents, the motor unit action potentials (MUAPs). Singularities and irregular structures typically characterize the mathematically defined content of information in signals. In this paper, a wavelet transform method is used to detect and quantify the singularity characteristics of EMG IP signals using the Lipschitz exponent (LE) and measures derived from it. The performance of the method is assessed in terms of its ability to discriminate healthy, myopathic and neuropathic subjects and how it compares with traditionally used Turns Analysis (TA) methods and a method recently developed by the authors, interscale wavelet maximum (ISWM). Highly significant intergroup differences were found using the LE method. Most of the singularity measures have a performance similar to that of ISWM and considerably better than that of TA. Some measures such as the ratio of the mean LE value to the number of singular points in the signal have considerably superior performance to both methods. These findings add weight to the view that wavelet analysis methods offer an effective way forward in the quantitative analysis of EMG IP signal to assist the clinician in the diagnosis of neuromuscular disorders.","1558-2531","","10.1109/TBME.2005.862548","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1580827","Clinical EMG;diagnosis;singularity;wavelet analysis","Needles;Electromyography;Muscles;Interference;Wavelet analysis;Neuromuscular;Biomedical engineering;Loudspeakers;Neurons;Signal analysis","Action Potentials;Diagnosis, Computer-Assisted;Electrodes, Implanted;Electromyography;Electromyography;Humans;Motor Neurons;Muscle, Skeletal;Muscle, Skeletal;Needles;Neuromuscular Diseases;Neuromuscular Diseases;Neuromuscular Junction;Reproducibility of Results;Sensitivity and Specificity","25","","21","IEEE","23 Jan 2006","Feb. 2006","","IEEE","IEEE Journals"
"A finite element model for describing the effect of muscle shortening on surface EMG","L. Mesin; M. Joubert; T. Hanekom; R. Merletti; D. Farina","Laboratorio di Ingegneria del Sistema Neuromuscolare (LISiN), Dipartimento di Elettronica, Politecnico di Turino, Torino, Italy; Department of Electrical, Electronic and Computer Engineering, University of Pretoria, Pretoria, South Africa; Department of Electrical, Electronic and Computer Engineering, University of Pretoria, Pretoria, South Africa; Laboratorio di Ingegneria del Sistema Neuromuscolare (LISiN), Dipartimento di Elettronica, Politecnico di Turino, Torino, Italy; Depart-ment of Health Science and Technology, University of Aalborg, Aalborg, Denmark",IEEE Transactions on Biomedical Engineering,"20 Mar 2006","2006","53","4","593","600","A finite-element model for the generation of single fiber action potentials in a muscle undergoing various degrees of fiber shortening is developed. The muscle is assumed fusiform with muscle fibers following a curvilinear path described by a Gaussian function. Different degrees of fiber shortening are simulated by changing the parameters of the fiber path and maintaining the volume of the muscle constant. The conductivity tensor is adapted to the muscle fiber orientation. In each point of the volume conductor, the conductivity of the muscle tissue in the direction of the fiber is larger than that in the transversal direction. Thus, the conductivity tensor changes point-by-point with fiber shortening, adapting to the fiber paths. An analytical derivation of the conductivity tensor is provided. The volume conductor is then studied with a finite-element approach using the analytically derived conductivity tensor. Representative simulations of single fiber action potentials with the muscle at different degrees of shortening are presented. It is shown that the geometrical changes in the muscle, which imply changes in the conductivity tensor, determine important variations in action potential shape, thus affecting its amplitude and frequency content. The model provides a new tool for interpreting surface EMG signal features with changes in muscle geometry, as it happens during dynamic contractions.","1558-2531","","10.1109/TBME.2006.870256","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1608508","Electromyography;finite elements;modeling","Finite element methods;Muscles;Electromyography;Conductivity;Tensile stress;Conductors;Shape;Frequency;Solid modeling;Geometry","Action Potentials;Animals;Anisotropy;Computer Simulation;Diagnosis, Computer-Assisted;Electromyography;Finite Element Analysis;Humans;Models, Biological;Movement;Muscle Contraction;Skin Physiology","69","","28","IEEE","20 Mar 2006","April 2006","","IEEE","IEEE Journals"
"Multiexpert automatic speech recognition using acoustic and myoelectric signals","A. D. C. Chan; K. B. Englehart; B. Hudgins; D. F. Lovely","Department of Systems and Computer Engineering, Carleton University, Ottawa, ONT, Canada; Department of Electrical and Computer Engineering and the Institute of Biomedical Engineering, University of New Brunswick, Fredericton, NB, Canada; Department of Electrical and Computer Engineering and the Institute of Biomedical Engineering, University of New Brunswick, Fredericton, NB, Canada; Department of Electrical and Computer Engineering, University of New Brunswick, Fredericton, NB, Canada",IEEE Transactions on Biomedical Engineering,"20 Mar 2006","2006","53","4","676","685","Classification accuracy of conventional automatic speech recognition (ASR) systems can decrease dramatically under acoustically noisy conditions. To improve classification accuracy and increase system robustness a multiexpert ASR system is implemented. In this system, acoustic speech information is supplemented with information from facial myoelectric signals (MES). A new method of combining experts, known as the plausibility method, is employed to combine an acoustic ASR expert and a MES ASR expert. The plausibility method of combining multiple experts, which is based on the mathematical framework of evidence theory, is compared to the Borda count and score-based methods of combination. Acoustic and facial MES data were collected from 5 subjects, using a 10-word vocabulary across an 18-dB range of acoustic noise. As expected the performance of an acoustic expert decreases with increasing acoustic noise; classification accuracies of the acoustic ASR expert are as low as 11.5%. The effect of noise is significantly reduced with the addition of the MES ASR expert. Classification accuracies remain above 78.8% across the 18-dB range of acoustic noise, when the plausibility method is used to combine the opinions of multiple experts. In addition, the plausibility method produced classification accuracies higher than any individual expert at all noise levels, as well as the highest classification accuracies, except at the 9-dB noise level. Using the Borda count and score-based multiexpert systems, classification accuracies are improved relative to the acoustic ASR expert but are as low as 51.5% and 59.5%, respectively.","1558-2531","","10.1109/TBME.2006.870224","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1608517","Classification;electromyography;multiexpert system;myoelectric signals;speech recognition","Automatic speech recognition;Acoustic noise;Hidden Markov models;Biomedical engineering;Noise level;Speech recognition;Niobium;Linear discriminant analysis;Robustness;Vocabulary","Algorithms;Electromyography;Expert Systems;Facial Muscles;Feasibility Studies;Humans;Male;Muscle Contraction;Pattern Recognition, Automated;Sound Spectrography;Speech Intelligibility;Speech Perception;Speech Production Measurement;Speech Recognition Software","29","","31","IEEE","20 Mar 2006","April 2006","","IEEE","IEEE Journals"
"Estimation of Motor Unit Conduction Velocity From Surface EMG Recordings by Signal-Based Selection of the Spatial Filters","L. Mesin; F. Tizzani; D. Farina","Dipartimento di Elettronica, Laboratorio di Ingegneria del Sistema Neuromuscolare (LISiN), Torino, Italy; Dipartimento di Elettronica, Laboratorio di Ingegneria del Sistema Neuromuscolare (LISiN), Torino, Italy; Department of Health Science and Technology, University of Aalborg, Aalborg, Denmark",IEEE Transactions on Biomedical Engineering,"18 Sep 2006","2006","53","10","1963","1971","Muscle fiber conduction velocity (CV) can be estimated by the application of a pair of spatial filters to surface electromagnetic (EMG) signals and compensation of the spatial filter transfer function with equivalent temporal filters. This method integrates the selection of the spatial filters for signal detection to the estimation of CV. Using this approach, in this paper, we propose a novel technique for signal-based selection of the spatial filter pair that minimizes the effect of nonpropagating signal components (end-of-fiber effects) on CV estimates (optimal filters). The technique is applicable to signals with one propagating and one nonpropagating component, such as single motor unit action potentials. It is shown that the determination of the optimal filters also allows the identification of the propagating and nonpropagating signal components. The new method was applied to simulated and experimental EMG signals. Simulated signals were generated by a cylindrical, layered volume conductor model. Experimental signals were recorded from the abductor pollicis brevis with a linear array of 16 electrodes. In the simulations, the proposed approach provided CV estimates with lower bias due to nonpropagating signal components than previously proposed methods based on the entire signal waveform. In the experimental signals, the technique separated propagating and nonpropagating signal components with an average reconstruction error of$2.9 pm 0.9%$of the signal energy. The technique may find application in single motor unit studies for decreasing the variability and bias of CV estimates due to the presence and different weights of the nonpropagating components.","1558-2531","","10.1109/TBME.2006.881760","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1703747","Conduction velocity;linear electrode arrays;spatial filtering","Electromyography;Spatial filters;Signal detection;Tendons;Transfer functions;Electrodes;Costs;Muscles;Optical fiber sensors;Signal processing","Action Potentials;Algorithms;Computer Simulation;Diagnosis, Computer-Assisted;Electromyography;Humans;Models, Neurological;Motor Neurons;Muscle Fibers, Skeletal;Neural Conduction;Neuromuscular Junction;Reproducibility of Results;Sensitivity and Specificity;Signal Processing, Computer-Assisted","18","","19","IEEE","18 Sep 2006","Oct. 2006","","IEEE","IEEE Journals"
"Surface Myoelectric Signal Analysis: Dynamic Approaches for Change Detection and Classification","Y. Al-Assaf","School of Engineering, American University of Sharjah, Sharjah, UAE",IEEE Transactions on Biomedical Engineering,"16 Oct 2006","2006","53","11","2248","2256","Toward the goal of elbow and wrist prostheses control by characterizing events in surface myoelectric signals, this paper presents a dynamic method to simultaneously detect and classify such events. Dynamic cumulative sum of local generalized likelihood ratios using wavelet decomposition of the myoelectric signal is used for on-line detection. Frequency as well as energy changes are detected with this hybrid approach. Classification is composed of using multiresolution wavelet analysis and autoregressive modeling to extract signal features while polynomial classifiers are used for pattern modeling and matching. The results of detecting and classifying four elbow and wrist movements show that, in average, 91% of the events are correctly detected and classified using features obtained from multiresolution wavelet analysis while 95% accuracy is achieved with AR modeling. The classification accuracy decreases, however, if short prostheses response delay is desired. This paper also shows that the performance of the polynomial classifiers is better than that of the commonly used neural networks since it gives higher classification accuracy and consistent classification outcomes. In comparison to the well known support vector machine classification, the polynomial classifier gives similar results without the need to optimize and search for classifier parameters","1558-2531","","10.1109/TBME.2006.883628","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1710166","EMG analysis;modeling and classification;polynomial classifiers;signal detection","Signal analysis;Event detection;Polynomials;Elbow;Wrist;Energy resolution;Signal resolution;Wavelet analysis;Prosthetics;Frequency","Action Potentials;Algorithms;Computer Simulation;Electromyography;Humans;Models, Biological;Muscle Contraction;Muscle, Skeletal","31","","38","IEEE","16 Oct 2006","Nov. 2006","","IEEE","IEEE Journals"
"Head motion anticipation for virtual-environment applications using kinematics and EMG energy","S. Polak; Y. Barniv; Y. Baram","Computer Science Department Technion, Israel Institute of Technology-Technion, Haifa, Israel; Computer Science Department Technion, Israel Institute of Technology-Technion, Haifa, Israel; Human Information Processing Research Branch, NASA Ames Research Center, Moffett Field, CA, USA","IEEE Transactions on Systems, Man, and Cybernetics - Part A: Systems and Humans","15 May 2006","2006","36","3","569","576","Real-time human-computer interaction plays an important role in virtual-environment (VE) applications. Such interaction can be improved by detecting and reacting to the user's head motion. Today's VE systems use head-mounted inertial sensors to update and spatially stabilize the image displayed to a user through a head-mounted display. Since motion can only be detected after it has already occurred, latencies in the stabilization scheme can only be reduced but never eliminated. Such latencies slow down manual control, cause inaccuracies in matching real and virtual objects through a half-transparent display, and reduce the sense of presence. This paper presents novel methods for reducing VE latencies by anticipating future head motion based on electromyographic (EMG) signals originating from the major neck muscles and head kinematics; it also reports results for anticipation of 17.5 and 35 ms. Features extracted from the EMG signals are used to train a neural network in mapping EMG data, given present head kinematics, into future head motion. The trained network is then used in real time for head-motion anticipation, which gives the VE system the time advantage necessary to compensate for the inherent latencies. The main contribution of this work is the use of EMG energy and bounded head acceleration as the key input/output information, which results in improved performance compared to the previous work","1558-2426","","10.1109/TSMCA.2005.855781","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1632292","Electromyogram;head-mounted display;neural networks;pattern recognition;virtual environment","Kinematics;Electromyography;Head;Delay;Motion detection;Displays;Image sensors;Sensor systems;Human factors;Neck","","17","2","26","IEEE","15 May 2006","May 2006","","IEEE","IEEE Journals"
"Terrain identification for prosthetic knees based on electromyographic signal features","D. Jin; J. Yang; R. Zhang; R. Wang; J. Zhang","Division of Intelligent and Biomechanical System, State Key Laboratory of Tribology, Department of Precision Instruments and Mechanology, Tsinghua University, Beijing 100084, China; Division of Intelligent and Biomechanical System, State Key Laboratory of Tribology, Department of Precision Instruments and Mechanology, Tsinghua University, Beijing 100084, China; Division of Intelligent and Biomechanical System, State Key Laboratory of Tribology, Department of Precision Instruments and Mechanology, Tsinghua University, Beijing 100084, China; Division of Intelligent and Biomechanical System, State Key Laboratory of Tribology, Department of Precision Instruments and Mechanology, Tsinghua University, Beijing 100084, China; Division of Intelligent and Biomechanical System, State Key Laboratory of Tribology, Department of Precision Instruments and Mechanology, Tsinghua University, Beijing 100084, China",Tsinghua Science and Technology,"17 Jan 2012","2006","11","1","74","79","The features of electromyographic (EMG) signals were investigated while people walking on different terrains, including up and down slopes, up and down stairs, and during level walking at different speeds. The features were used to develop a terrain identification method. The technology can be used to develop an intelligent transfemoral prosthetic limb with terrain identification capability. The EMG signals from 8 hip muscles of 13 healthy persons were recorded as they walked on the different terrains. The signals from the sound side of a transfemoral amputee were also recorded. The features of these signals were obtained using data processing techniques with an identification process developed for the identification of the terrain type. The procedure was simplified by using only the signals from three muscles. The identification process worked well in an intelligent prosthetic knee in a laboratory setting.","1007-0214","","10.1016/S1007-0214(06)70157-2","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6076288","rehabilitation engineering;terrain identification;electromyographic (EMG) signal analysis;prosthetic knees","Electromyography;Muscles;Legged locomotion;Knee;Prosthetics;Laboratories;Trajectory","","19","2","","","17 Jan 2012","Feb. 2006","","TUP","TUP Journals"
"Automated decomposition of intramuscular electromyographic signals","J. R. Florestal; P. A. Mathieu; A. Malanda","Institute of Biomedical Engineering, Université de Montreal, QUE, Canada; Institute of Biomedical Engineering, Université de Montreal, QUE, Canada; Departamento de Ingeniería Eléctrica y Electrónica, Universidad PÙblica de Navarra, Navarra, Spain",IEEE Transactions on Biomedical Engineering,"18 Apr 2006","2006","53","5","832","839","We present a novel method for extracting and classifying motor unit action potentials (MUAPs) from one-channel electromyographic recordings. The extraction of MUAP templates is carried out using a symbolic representation of waveforms, a common technique in signature verification applications. The assignment of MUAPs to their specific trains is achieved by means of repeated template matching passes using pseudocorrelation, a new matched-filter-based similarity measure. Identified MUAPs are peeled off and the residual signal is analyzed using shortened templates to facilitate the resolution of superimpositions. The program was tested with simulated data and with experimental signals obtained using fine-wire electrodes in the biceps brachii during isometric contractions ranging from 5% to 30% of the maximum voluntary contraction. Analyzed signals were made of up to 14MUAP trains. Most templates were extracted automatically, but complex signals sometimes required the adjustment of 2 parameters to account for all the MUAP trains present. Classification accuracy rates for simulations ranged from an average of 96.3% plusmn 0.9%(4 trains) to 75.6% plusmn 11.0%(12 trains). The classification portion of the program never required user intervention. Decomposition of most 10-s-long signals required less than 10s using a conventional desktop computer, thus showing capabilities for real-time applications","1558-2531","","10.1109/TBME.2005.863893","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1621134","Decomposition;electromyography;template matching","Signal resolution;Electrodes;Electromyography;Muscles;Signal analysis;Biomedical engineering;Handwriting recognition;Signal processing;Testing;Data mining","Action Potentials;Algorithms;Artificial Intelligence;Diagnosis, Computer-Assisted;Electromyography;Humans;Isometric Contraction;Muscle Fibers, Skeletal;Muscle, Skeletal;Muscle, Skeletal;Pattern Recognition, Automated","54","","25","IEEE","18 Apr 2006","May 2006","","IEEE","IEEE Journals"
